bout_id,fighter_id,round,fighter,h_ss_s,h_ss_s_pr_di,h_ss_s_p15m,h_ss_s_p15m_di,h_ss_a,h_ss_a_pr_di,h_ss_a_p15m,h_ss_a_p15m_di,b_ss_s,b_ss_s_pr_di,b_ss_s_p15m,b_ss_s_p15m_di,b_ss_a,b_ss_a_pr_di,b_ss_a_p15m,b_ss_a_p15m_di,l_ss_s,l_ss_s_pr_di,l_ss_s_p15m,l_ss_s_p15m_di,l_ss_a,l_ss_a_pr_di,l_ss_a_p15m,l_ss_a_p15m_di
f6a03399c7a721cd,1ddb480b601cefb1,2,Chance Rencountre,0,0,0.0,0.0,5,5,15.0,15.0,0,-1,0.0,-3.0,2,1,6.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0
f6a03399c7a721cd,1ddb480b601cefb1,3,Chance Rencountre,1,-9,3.0,-27.0,7,-15,21.0,-45.0,1,1,3.0,3.0,3,3,9.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0
f6a03399c7a721cd,1ddb480b601cefb1,1,Chance Rencountre,0,-3,0.0,-9.0,5,-5,15.0,-15.0,1,-6,3.0,-18.0,1,-9,3.0,-27.0,1,1,3.0,3.0,1,1,3.0,3.0
f6ab2eec90980ac0,6f7c616b98e18c29,1,Claudio Silva,25,23,145.16129032258064,133.54838709677418,29,24,168.38709677419354,139.3548387096774,5,5,29.032258064516128,29.032258064516128,6,5,34.83870967741935,29.032258064516128,2,2,11.612903225806452,11.612903225806452,2,2,11.612903225806452,11.612903225806452
f6d078e9fe7d17c8,73c7cfa551289285,4,BJ Penn,12,10,36.0,30.0,25,1,75.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
f6d078e9fe7d17c8,73c7cfa551289285,3,BJ Penn,12,11,36.0,33.0,21,4,63.0,12.0,1,1,3.0,3.0,1,0,3.0,0.0,1,1,3.0,3.0,1,1,3.0,3.0
f6d078e9fe7d17c8,73c7cfa551289285,1,BJ Penn,25,23,75.0,69.0,46,17,138.0,51.0,0,0,0.0,0.0,0,-5,0.0,-15.0,0,0,0.0,0.0,0,0,0.0,0.0
f6d078e9fe7d17c8,73c7cfa551289285,2,BJ Penn,8,6,24.0,18.0,23,-3,69.0,-9.0,0,0,0.0,0.0,0,-1,0.0,-3.0,1,1,3.0,3.0,1,1,3.0,3.0
f6d078e9fe7d17c8,73c7cfa551289285,5,BJ Penn,9,9,51.59235668789808,51.59235668789808,12,8,68.78980891719745,45.859872611464965,1,0,5.732484076433121,0.0,1,0,5.732484076433121,0.0,0,0,0.0,0.0,0,0,0.0,0.0
f6d6b660e1578744,1091d4d957141094,1,Nikita Krylov,29,12,87.87878787878788,36.36363636363636,52,18,157.57575757575756,54.54545454545453,9,5,27.27272727272727,15.151515151515149,14,9,42.42424242424242,27.272727272727273,4,4,12.121212121212121,12.121212121212121,4,4,12.121212121212121,12.121212121212121
f6d8bdc3cdcf1dd8,a20d7dfaba74c067,3,Rodrigo Damm,13,9,39.0,27.0,55,11,165.0,33.0,3,3,9.0,9.0,4,4,12.0,12.0,2,-7,6.0,-21.0,9,-5,27.0,-15.0
f6d8bdc3cdcf1dd8,a20d7dfaba74c067,2,Rodrigo Damm,9,4,27.0,12.0,38,11,114.0,33.0,4,4,12.0,12.0,6,5,18.0,15.0,3,-11,9.0,-33.0,7,-10,21.0,-30.0
f6d8bdc3cdcf1dd8,a20d7dfaba74c067,1,Rodrigo Damm,8,8,24.0,24.0,26,1,78.0,3.0,1,1,3.0,3.0,2,1,6.0,3.0,7,-9,21.0,-27.0,11,-10,33.0,-30.0
f6ea148cfeb1aaf7,3bad7ef643840f67,1,Joe Lauzon,10,1,30.0,3.0,33,4,99.0,12.0,1,-4,3.0,-12.0,1,-5,3.0,-15.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
f6ea148cfeb1aaf7,3bad7ef643840f67,2,Joe Lauzon,12,11,114.8936170212766,105.31914893617021,20,10,191.48936170212767,95.74468085106383,0,-2,0.0,-19.148936170212767,0,-2,0.0,-19.148936170212767,0,0,0.0,0.0,0,0,0.0,0.0
f6efb09c01e4cac6,040a74bb0a465c54,3,Arnold Allen,2,1,11.180124223602485,5.590062111801243,6,1,33.54037267080746,5.590062111801245,0,-1,0.0,-5.590062111801243,0,-1,0.0,-5.590062111801243,0,0,0.0,0.0,0,0,0.0,0.0
f6efb09c01e4cac6,040a74bb0a465c54,1,Arnold Allen,19,11,57.0,33.0,58,28,174.0,84.0,8,6,24.0,18.0,13,11,39.0,33.0,0,-4,0.0,-12.0,0,-5,0.0,-15.0
f6efb09c01e4cac6,040a74bb0a465c54,2,Arnold Allen,0,-4,0.0,-12.0,12,1,36.0,3.0,0,0,0.0,0.0,1,0,3.0,0.0,0,0,0.0,0.0,0,-1,0.0,-3.0
f7114bf73eec4022,68f6e96c5fa6e044,2,Jeremy Kennedy,10,8,30.0,24.0,28,19,84.0,57.0,3,-1,9.0,-3.0,6,-4,18.0,-12.0,2,0,6.0,0.0,4,1,12.0,3.0
f7114bf73eec4022,68f6e96c5fa6e044,1,Jeremy Kennedy,4,0,12.0,0.0,18,5,54.0,15.0,4,-7,12.0,-21.0,5,-10,15.0,-30.0,0,-2,0.0,-6.0,0,-3,0.0,-9.0
f7114bf73eec4022,68f6e96c5fa6e044,3,Jeremy Kennedy,2,1,6.0,3.0,5,2,15.0,6.0,1,0,3.0,0.0,4,1,12.0,3.0,1,0,3.0,0.0,1,0,3.0,0.0
f711b3ec6bc3c407,7279654c7674cd24,1,Klidson Abreu,7,5,21.0,15.0,16,0,48.0,0.0,4,4,12.0,12.0,6,6,18.0,18.0,2,-2,6.0,-6.0,3,-2,9.0,-6.0
f711b3ec6bc3c407,7279654c7674cd24,2,Klidson Abreu,4,0,12.0,0.0,11,-7,33.0,-21.0,0,-3,0.0,-9.0,2,-2,6.0,-6.0,5,2,15.0,6.0,5,2,15.0,6.0
f711b3ec6bc3c407,7279654c7674cd24,3,Klidson Abreu,6,0,18.0,0.0,33,14,99.0,42.0,0,-2,0.0,-6.0,5,-3,15.0,-9.0,8,4,24.0,12.0,8,4,24.0,12.0
f71d46f804307bd2,34f88592c0ab7a54,1,Elias Theodorou,16,11,48.0,33.0,31,15,93.0,45.0,20,13,60.0,39.0,25,17,75.0,51.0,1,0,3.0,0.0,1,0,3.0,0.0
f71d46f804307bd2,34f88592c0ab7a54,2,Elias Theodorou,12,4,36.0,12.0,29,11,87.0,33.0,8,0,24.0,0.0,15,4,45.0,12.0,3,0,9.0,0.0,3,0,9.0,0.0
f71d46f804307bd2,34f88592c0ab7a54,3,Elias Theodorou,9,8,27.0,24.0,23,9,69.0,27.0,5,-1,15.0,-3.0,7,-1,21.0,-3.0,3,1,9.0,3.0,4,2,12.0,6.0
f73dfeb48b09e6a6,c9cf753cfdf77fc2,1,Marcin Tybura,5,-11,15.0,-33.0,9,-16,27.0,-48.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0,1,0,3.0,0.0,1,0,3.0,0.0
f73dfeb48b09e6a6,c9cf753cfdf77fc2,2,Marcin Tybura,12,8,36.0,24.0,18,13,54.0,39.0,6,6,18.0,18.0,7,7,21.0,21.0,3,3,9.0,9.0,6,6,18.0,18.0
f73dfeb48b09e6a6,c9cf753cfdf77fc2,3,Marcin Tybura,2,-5,10.714285714285715,-26.785714285714292,5,-7,26.78571428571429,-37.5,2,1,10.714285714285715,5.357142857142858,4,3,21.42857142857143,16.071428571428573,6,6,32.142857142857146,32.142857142857146,6,6,32.142857142857146,32.142857142857146
f743abae6896c1e8,20bcc9966affb19c,1,Jake O'Brien,9,9,27.0,27.0,16,13,48.0,39.0,1,0,3.0,0.0,1,-1,3.0,-3.0,0,-2,0.0,-6.0,0,-2,0.0,-6.0
f743abae6896c1e8,20bcc9966affb19c,2,Jake O'Brien,3,3,9.0,9.0,8,-2,24.0,-6.0,0,-1,0.0,-3.0,0,-2,0.0,-6.0,0,-2,0.0,-6.0,0,-2,0.0,-6.0
f743abae6896c1e8,20bcc9966affb19c,3,Jake O'Brien,0,-1,0.0,-3.0,6,-3,18.0,-9.0,0,0,0.0,0.0,0,-3,0.0,-9.0,0,-6,0.0,-18.0,0,-7,0.0,-21.0
f747701638da90ae,f2925e6db404bf1d,2,Robbie Lawler,3,2,112.49999999999999,74.99999999999999,5,2,187.5,75.00000000000001,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
f747701638da90ae,f2925e6db404bf1d,1,Robbie Lawler,19,14,57.0,42.0,34,2,102.0,6.0,5,3,15.0,9.0,6,3,18.0,9.0,1,-1,3.0,-3.0,1,-3,3.0,-9.0
