bout_id,fighter_id,round,fighter,td_s,td_s_pr_di,td_s_p15m,td_s_p15m_di,td_a,td_a_pr_di,td_a_p15m,td_a_p15m_di,sba,sba_pr_di,sba_p15m,sba_p15m_di,rev,rev_pr_di,rev_p15m,rev_p15m_di,ps,ps_pr_di,ps_p15m,ps_p15m_di
9a8fedc4fa968bbd,7cdd3e5d3aa9cb39,2,Yan Cabral,0,-3,0.0,-9.0,4,1,12.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9a984ea967886979,d3df1add9d9a7efb,1,Derrick Lewis,0,-2,0.0,-6.0,0,-4,0.0,-12.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-2,0.0,-6.0
9a984ea967886979,d3df1add9d9a7efb,2,Derrick Lewis,0,-3,0.0,-9.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-2,0.0,-6.0
9a984ea967886979,d3df1add9d9a7efb,3,Derrick Lewis,0,-2,0.0,-6.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-1,0.0,-3.0
9ad2dde9c35d3cc4,c849740a3ff51931,3,TJ Dillashaw,0,0,0.0,0.0,1,-2,3.0,-6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9ad2dde9c35d3cc4,c849740a3ff51931,2,TJ Dillashaw,1,1,3.0,3.0,2,1,6.0,3.0,0,-1,0.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0
9ad2dde9c35d3cc4,c849740a3ff51931,1,TJ Dillashaw,1,1,3.0,3.0,1,-1,3.0,-3.0,3,3,9.0,9.0,0,0,0.0,0.0,1,1,3.0,3.0
9ae6a6f0f0730fa1,c32fb8c0f6471a4d,3,Mirko Filipovic,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.3333333333333335,3.3333333333333335,0,0,0.0,0.0,0,0,0.0,0.0
9ae6a6f0f0730fa1,c32fb8c0f6471a4d,1,Mirko Filipovic,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9ae6a6f0f0730fa1,c32fb8c0f6471a4d,2,Mirko Filipovic,0,0,0.0,0.0,1,1,3.0,3.0,1,1,3.0,3.0,0,0,0.0,0.0,3,3,9.0,9.0
9af62d6e404c1002,f53d4f21d1b5f2dc,1,Diego Ferreira,0,-1,0.0,-3.0,0,-3,0.0,-9.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0
9af62d6e404c1002,f53d4f21d1b5f2dc,2,Diego Ferreira,0,-2,0.0,-6.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9af62d6e404c1002,f53d4f21d1b5f2dc,3,Diego Ferreira,0,0,0.0,0.0,0,-6,0.0,-18.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9afcb091777f6a83,d0f3959b4a9747e6,1,Jose Aldo,0,0,0.0,0.0,0,-7,0.0,-21.070234113712374,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
