bout_id,fighter_id,round,fighter,d_ss_s,d_ss_s_pr_di,d_ss_s_p15m,d_ss_s_p15m_di,d_ss_a,d_ss_a_pr_di,d_ss_a_p15m,d_ss_a_p15m_di,c_ss_s,c_ss_s_pr_di,c_ss_s_p15m,c_ss_s_p15m_di,c_ss_a,c_ss_a_pr_di,c_ss_a_p15m,c_ss_a_p15m_di,g_ss_s,g_ss_s_pr_di,g_ss_s_p15m,g_ss_s_p15m_di,g_ss_a,g_ss_a_pr_di,g_ss_a_p15m,g_ss_a_p15m_di
8c47c4b9503dd5b4,fc31f896cde2bc2e,1,John Howard,13,1,39.0,3.0,17,-7,51.0,-21.0,1,-9,3.0,-27.0,4,-9,12.0,-27.0,1,-4,3.0,-12.0,1,-4,3.0,-12.0
8c47c4b9503dd5b4,fc31f896cde2bc2e,2,John Howard,6,-3,18.0,-9.0,11,-7,33.0,-21.0,8,-2,24.0,-6.0,10,0,30.0,0.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
8c47c4b9503dd5b4,fc31f896cde2bc2e,3,John Howard,6,-1,18.0,-3.0,10,-4,30.0,-12.0,0,0,0.0,0.0,0,-1,0.0,-3.0,0,-10,0.0,-30.0,0,-11,0.0,-33.0
beed8bc1f800de8f,22aa91e402d0fe1f,1,Ramsey Nijem,15,9,51.92307692307693,31.153846153846157,28,14,96.92307692307693,48.46153846153847,0,-3,0.0,-10.384615384615385,1,-5,3.4615384615384617,-17.307692307692307,19,19,65.76923076923077,65.76923076923077,22,22,76.15384615384616,76.15384615384616
f524520a7fe0a8b8,91ea901c458e95dd,1,Jared Rosholt,2,1,6.0,3.0,6,3,18.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0,4,4,12.0,12.0,10,10,30.0,30.0
f524520a7fe0a8b8,91ea901c458e95dd,2,Jared Rosholt,1,-4,3.0,-12.0,7,0,21.0,0.0,0,-1,0.0,-3.0,1,0,3.0,0.0,10,9,30.0,27.0,10,8,30.0,24.0
f524520a7fe0a8b8,91ea901c458e95dd,3,Jared Rosholt,1,0,3.0,0.0,1,0,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,16,15,48.0,45.0,16,15,48.0,45.0
a523ac02533f8b4d,f797f0c57a83353e,1,Trevor Smith,3,0,60.0,0.0,10,4,200.0,80.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-2,0.0,-40.0,0,-2,0.0,-40.0
f7fac3df5c6dc91f,fe5a9547479396ab,1,Jim Alers,10,-6,30.0,-18.0,40,2,120.0,6.0,7,2,21.0,6.0,13,7,39.0,21.0,0,0,0.0,0.0,0,0,0.0,0.0
f7fac3df5c6dc91f,fe5a9547479396ab,2,Jim Alers,3,-2,9.0,-6.0,12,0,36.0,0.0,0,-7,0.0,-21.0,3,-5,9.0,-15.0,6,-4,18.0,-12.0,9,-7,27.0,-21.0
f7fac3df5c6dc91f,fe5a9547479396ab,3,Jim Alers,1,-4,3.0,-12.0,5,-3,15.0,-9.0,5,-5,15.0,-15.0,6,-7,18.0,-21.0,4,4,12.0,12.0,5,5,15.0,15.0
ceac6997d22f2f3b,ffc3e6daaa6da0b7,1,Johnny Bedford,2,-1,46.15384615384615,-23.076923076923073,4,-4,92.3076923076923,-92.3076923076923,0,0,0.0,0.0,0,0,0.0,0.0,2,2,46.15384615384615,46.15384615384615,2,2,46.15384615384615,46.15384615384615
981e2f5a8e46a1f1,1ccf4e7caff270df,1,Dan Henderson,9,-5,27.0,-15.0,29,-7,87.0,-21.0,1,-3,3.0,-9.0,6,1,18.0,3.0,0,-12,0.0,-36.0,0,-17,0.0,-51.0
981e2f5a8e46a1f1,1ccf4e7caff270df,2,Dan Henderson,2,-9,6.0,-27.0,9,-12,27.0,-36.0,3,3,9.0,9.0,3,3,9.0,9.0,0,-1,0.0,-3.0,0,-3,0.0,-9.0
981e2f5a8e46a1f1,1ccf4e7caff270df,3,Dan Henderson,3,-3,29.67032967032967,-29.67032967032967,8,-6,79.12087912087912,-59.34065934065933,1,1,9.89010989010989,9.89010989010989,1,1,9.89010989010989,9.89010989010989,4,4,39.56043956043956,39.56043956043956,4,4,39.56043956043956,39.56043956043956
eae8d2c30c0bb499,dbc17725b887860a,1,Cezar Ferreira,3,-2,69.23076923076923,-46.15384615384616,8,1,184.6153846153846,23.076923076923094,0,0,0.0,0.0,0,0,0.0,0.0,0,-7,0.0,-161.53846153846152,0,-9,0.0,-207.69230769230768
671048cd1933855a,9c65736747ca92ec,1,Leonardo Santos,11,0,33.0,0.0,25,-16,75.0,-48.0,0,-2,0.0,-6.0,2,-1,6.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0
671048cd1933855a,9c65736747ca92ec,2,Leonardo Santos,6,0,18.0,0.0,23,-9,69.0,-27.0,1,-6,3.0,-18.0,2,-8,6.0,-24.0,0,0,0.0,0.0,0,0,0.0,0.0
