bout_id,fighter_id,round,fighter,ss_s,ss_s_pr_di,ss_s_p15m,ss_s_p15m_di,ss_a,ss_a_pr_di,ss_a_p15m,ss_a_p15m_di,ts_s,ts_s_pr_di,ts_s_p15m,ts_s_p15m_di,ts_a,ts_a_pr_di,ts_a_p15m,ts_a_p15m_di,kd,kd_pr_di,kd_p15m,kd_p15m_di
6afdefcb6728467e,1fe7adb23b3eedfb,3,Yuki Kondo,0,-3,0.0,-9.0,0,-8,0.0,-24.0,40,7,120.0,21.0,41,-2,123.0,-6.0,0,0,0.0,0.0
c9d2abc25651a1a7,3738e68d2261e60f,1,Andrei Arlovski,4,-3,12.0,-9.0,12,2,36.0,6.0,7,-9,21.0,-27.0,15,-4,45.0,-12.0,0,0,0.0,0.0
c9d2abc25651a1a7,3738e68d2261e60f,2,Andrei Arlovski,6,-2,18.0,-6.0,11,-7,33.0,-21.0,10,-18,30.0,-54.0,15,-23,45.0,-69.0,0,0,0.0,0.0
c9d2abc25651a1a7,3738e68d2261e60f,3,Andrei Arlovski,1,-14,10.843373493975903,-151.80722891566268,3,-19,32.53012048192771,-206.02409638554218,1,-19,10.843373493975903,-206.02409638554218,3,-24,32.53012048192771,-260.2409638554217,0,0,0.0,0.0
085d6ea4d12917a2,26eddcda9d6b2ffe,1,Paul Rodriguez,2,1,27.692307692307693,13.846153846153847,2,-1,27.692307692307693,-13.846153846153847,2,1,27.692307692307693,13.846153846153847,2,-1,27.692307692307693,-13.846153846153847,0,0,0.0,0.0
6f62436ae042009b,0aa92558424ced9e,1,Randy Couture,33,29,99.0,87.0,43,34,129.0,102.0,84,74,252.0,222.0,94,79,282.0,237.0,0,0,0.0,0.0
6f62436ae042009b,0aa92558424ced9e,2,Randy Couture,10,-12,30.0,-36.0,17,-35,51.0,-105.0,10,-14,30.0,-42.0,17,-37,51.0,-111.0,0,-1,0.0,-3.0
6f62436ae042009b,0aa92558424ced9e,3,Randy Couture,6,5,18.0,15.0,13,7,39.0,21.0,16,8,48.0,24.0,24,11,72.0,33.0,0,0,0.0,0.0
6f62436ae042009b,0aa92558424ced9e,4,Randy Couture,15,10,45.0,30.0,25,12,75.0,36.0,31,19,93.0,57.0,41,21,123.0,63.0,0,0,0.0,0.0
6f62436ae042009b,0aa92558424ced9e,5,Randy Couture,5,-5,15.0,-15.0,20,-8,60.0,-24.0,6,-16,18.0,-48.0,21,-21,63.0,-63.0,0,0,0.0,0.0
34ab72077963ee74,952f6fa06f25a0ec,1,Carlos Newton,8,-6,24.0,-18.0,29,-14,87.0,-42.0,14,-6,42.0,-18.0,35,-14,105.0,-42.0,0,0,0.0,0.0
34ab72077963ee74,952f6fa06f25a0ec,2,Carlos Newton,4,-2,12.0,-6.0,16,-6,48.0,-18.0,31,14,93.0,42.0,46,12,138.0,36.0,0,0,0.0,0.0
34ab72077963ee74,952f6fa06f25a0ec,3,Carlos Newton,2,-6,10.588235294117645,-31.764705882352935,7,-4,37.05882352941176,-21.17647058823529,8,-5,42.35294117647058,-26.470588235294116,15,-2,79.41176470588235,-10.588235294117638,0,0,0.0,0.0
c0be83e56601e7ce,6859f67468ba8489,1,Kevin Randleman,0,-3,0.0,-34.61538461538461,0,-5,0.0,-57.69230769230769,1,-3,11.538461538461538,-34.61538461538461,1,-5,11.538461538461538,-57.692307692307686,0,-1,0.0,-11.538461538461538
0434a68809885ea1,7b6e40a73b567072,1,Shonie Carter,5,1,15.0,3.0,8,0,24.0,0.0,11,3,33.0,9.0,14,2,42.0,6.0,1,1,3.0,3.0
0434a68809885ea1,7b6e40a73b567072,2,Shonie Carter,7,2,21.0,6.0,11,-2,33.0,-6.0,14,5,42.0,15.0,18,0,54.0,0.0,0,0,0.0,0.0
